# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
    3893.972       77.900      405.766     1184.598
    3903.983      109.500      408.723     1185.598
    3913.989      100.200      413.070     1191.598
    3924.000       89.500      413.012     1191.730
    3934.011       89.400      413.809     1191.730
    3944.021      101.300      414.441     1192.730
    3954.029       99.300      418.066     1195.230
    3964.037       89.800      420.074     1196.961
    3974.048       91.100      419.840     1196.461
    3984.059       90.200      420.535     1198.672
    3994.061      104.800      421.750     1198.672
    4004.072       94.000      420.520     1197.672
    4014.081       89.700      416.379     1193.172
    4024.092       92.300      416.941     1194.172
    4034.103      107.200      414.262     1191.672
    4044.114       92.900      421.340     1198.672
    4054.125       89.900      415.840     1194.672
    4064.136       80.900      417.852     1195.672
    4074.146      100.700      413.164     1190.672
    4084.157      101.300      412.539     1189.672
    4094.165       90.300      414.316     1191.672
    4104.176       93.500      411.078     1188.172
    4114.187      102.400      413.137     1190.172
    4124.193       98.700      412.312     1189.172
    4134.201       88.100      410.980     1188.172
    4144.212       86.100      411.086     1188.172
    4154.213       83.900      411.402     1188.672
    4164.224      102.100      410.539     1188.172
    4174.233       97.000      412.352     1189.172
    4184.241       90.600      410.223     1188.172
    4194.252       88.800      411.746     1189.172
    4204.263       97.300      408.617     1185.672
    4214.271       92.200      407.395     1184.672
    4224.281       85.800      415.969     1194.172
    4234.292       76.200      417.617     1194.672
    4244.303       97.000      404.664     1181.684
    4254.314       97.600      408.434     1185.672
    4264.325       91.000      408.988     1186.172
    4274.333       84.400      407.566     1184.672
    4284.344       90.900      398.438     1175.172
    4294.355       90.800      387.445     1164.172
    4304.365       78.800      389.195     1167.172
    4314.373       86.000      389.188     1166.172
    4324.384       91.700      390.590     1167.672
    4334.395       99.600      390.035     1167.172
    4344.406       91.100      403.480     1182.172
    4354.413       74.600      407.520     1185.172
    4364.421       79.000      398.555     1175.172
    4374.432       97.800      394.781     1172.172
    4384.443       94.000      402.535     1179.672
    4394.453       74.300      405.211     1182.672
    4404.463       85.300      399.625     1176.172
    4414.473       93.900      392.051     1169.172
    4424.484       90.300      394.773     1172.672
    4434.495       84.300      401.008     1177.672
    4444.506       89.500      393.996     1170.172
    4454.517       91.200      394.875     1171.672
    4464.525       92.900      396.730     1173.172
    4474.533       80.800      399.191     1176.172
    4484.544       88.200      397.402     1173.672
    4494.555       84.400      389.039     1165.672
    4504.566       92.300      389.672     1166.672
    4514.577       85.800      390.465     1167.172
    4524.588       92.800      389.660     1166.043
    4534.597       84.600      388.109     1166.031
    4544.605       82.100      391.895     1168.531
    4554.613       90.900      389.801     1166.031
    4564.624       92.900      390.668     1168.031
    4574.633       83.000      389.652     1167.031
    4584.641       84.700      390.980     1167.926
    4594.652       93.000      391.449     1167.926
    4604.663       89.800      387.488     1163.926
    4614.674       75.600      389.953     1166.426
    4624.684       85.900      391.008     1167.426
    4634.695       92.400      387.652     1163.926
    4644.706       80.900      390.434     1166.926
    4654.716      102.900      389.301     1165.426
    4664.727       85.200      391.277     1167.426
    4674.738       77.200      395.176     1171.926
    4684.745       85.700      394.633     1171.926
    4694.756       88.900      393.242     1169.926
    4704.767       74.300      394.973     1172.426
    4714.774       94.900      385.883     1162.426
    4724.781       92.200      387.527     1163.926
    4734.789       86.100      385.125     1161.426
    4744.797       83.400      385.387     1161.426
    4754.808       84.200      389.992     1166.426
    4764.819       86.200      391.906     1167.926
    4774.830       84.900      391.906     1167.926
    4784.840       94.600      391.129     1166.938
    4794.849       80.100      388.281     1164.926
    4804.857       83.200      388.906     1165.621
    4814.865       90.500      389.988     1166.949
    4824.876       88.400      388.605     1165.449
    4834.887       81.800      389.105     1165.949
    4844.897       87.700      391.609     1167.949
    4854.908       13.300      391.688     1167.949
    4864.919        0.000      391.688     1167.949
    4874.929       33.600      376.094     1167.949
    4884.940        3.300      376.152     1167.949
    4894.951        3.300      360.547     1167.949
    4904.962        0.100      360.805     1167.949
    4914.969       45.300      237.602     1040.949
    4924.977       42.200      266.980     1045.949
    4934.985       84.100      325.227     1104.949
    4944.996      142.200      444.598     1222.949
    4955.007      152.900      500.301     1277.449
    4965.018      141.000      550.477     1328.949
    4975.029      122.900      594.348     1372.449
    4985.037      138.400      616.664     1393.949
    4995.045      135.900      569.328     1345.949
    5005.056      140.100      613.957     1390.637
    5015.065      139.800      662.480     1440.480
    5025.076      139.600      724.980     1502.461
    5035.080      124.000      728.668     1505.039
    5045.091      141.800      762.137     1539.055
    5055.101      143.400      764.375     1542.055
    5065.109      121.600      792.469     1569.055
    5075.120      144.600      822.090     1598.191
    5085.131      145.000      886.516     1664.523
    5095.142      119.800      890.277     1666.602
    5105.153      147.800      977.621     1754.707
    5115.164      121.000      980.516     1757.207
    5125.165      152.800     1083.551     1861.465
    5135.173      120.200     1087.762     1864.527
    5145.181      141.100     1125.871     1904.051
    5155.192      137.400     1138.520     1915.609
    5165.201      155.200     1099.574     1876.520
    5175.212      124.100     1126.109     1902.781
    5185.221      150.800     1113.273     1890.777
    5195.229      120.900     1127.508     1904.277
    5205.240      158.500     1151.594     1928.777
    5215.251      123.200     1178.152     1954.719
    5225.261      160.500     1194.430     1971.266
    5235.272      161.600     1239.961     2018.141
    5245.281      123.000     1267.793     2044.273
    5255.289      163.800     1264.203     2040.512
    5265.300      164.700     1262.234     2039.012
    5275.311      120.000     1276.223     2054.512
    5285.322      164.900     1290.949     2067.176
    5295.333      167.900     1329.410     2106.066
    5305.344      165.400     1357.328     2135.066
    5315.345      124.500     1358.996     2135.566
    5325.356      169.100     1363.000     2139.270
    5335.365      170.600     1367.645     2144.059
    5345.376      208.900     1347.598     2126.047
    5355.385      170.400     1362.449     2171.547
    5365.396      208.900     1375.562     2153.176
    5375.407      178.900     1345.223     2122.176
    5385.418      193.600     1387.465     2196.090
    5395.429      215.400     1397.746     2174.891
    5405.437      181.800     1422.539     2199.512
    5415.445      208.300     1437.000     2245.992
    5425.456      218.300     1471.902     2249.492
    5435.465      194.700     1455.977     2262.992
    5445.476      237.200     1504.488     2281.992
    5455.487      257.100     1504.527     2308.492
    5465.498      280.900     1503.758     2313.594
    5475.509      208.000     1507.539     2316.094
    5485.520      361.600     1533.320     2315.730
    5495.531      354.300     1536.098     2316.730
    5505.541        5.800     1536.098     2316.730
    5515.552        5.700     1536.098     2316.730
    5525.563        5.100     1536.098     2316.730
    5535.574        5.200     1536.254     2316.730
